"Research_HQ_F";200030.0;-40.0;0;-0;-0;1;27.195421;
"Sign_Arrow_Large_F";199973.09375;-64.508904;0;-0.0948728;-359.65;1;26.764214;
"Sign_Arrow_Large_F";200031.828125;-63.497002;0;-359.548;-1.56798;1;27.0633812;
"Research_house_V1_F";200000.0;0.0;0;-0;-0;1;26.799999;
"Cargo_HQ_V1_F";199970.0;-40.0;0;-0;-0;1;26.728951;
"Cargo_HQ_V2_F";199977.0;33.0;180;-0;-0;1;28.0253448;
"Cargo_HQ_V3_F";200023.0;33.0;180;-0;-0;1;29.0125008;
"Medevac_HQ_V1_F";199940.0;37.0;180;-0;-0;1;27.867653;
"Sign_Arrow_Large_F";199932.15625;73.483452;0;-0.355533;-0.493768;1;26.626051;
"Sign_Arrow_Large_F";200021.796875;67.0660324;0;-0.142653;-3.29087;1;29.498077;
"Sign_Arrow_Large_F";199973.09375;68.802414;0;-0.901138;-1.55872;1;27.508099;
"Sign_Arrow_Large_F";200062.625;63.741936;0;-1.5752;-4.71621;1;31.879421;
"Cargo_House_V3_F";200060.0;37.0;180;-0;-0;1;30.637497;
"Cargo_House_V1_F";200080.0;37.0;180;-0;-0;1;30.975;
"Sign_Arrow_Large_F";200084.203125;65.817947;0;-356.566;-1.86141;1;32.699123;
